code,term,term_clean,semantic_tag
766492004,Product containing precisely methadone hydrochloride 1 milligram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely methadone hydrochloride 1 milligram/1 milliliter conventional release oral solution,clinical drug
766494003,Product containing precisely methadone hydrochloride 10 milligram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely methadone hydrochloride 10 milligram/1 milliliter conventional release oral solution,clinical drug
766502007,Product containing precisely oxycodone hydrochloride 10 milligram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely oxycodone hydrochloride 10 milligram/1 milliliter conventional release oral solution,clinical drug
766519009,Product containing precisely sodium valproate 40 milligram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely sodium valproate 40 milligram/1 milliliter conventional release oral solution,clinical drug
766545000,Product containing precisely cefixime 20 milligram/1 milliliter conventional release oral suspension (clinical drug),Product containing precisely cefixime 20 milligram/1 milliliter conventional release oral suspension,clinical drug
766547008,Product containing precisely clarithromycin 50 milligram/1 milliliter conventional release oral suspension (clinical drug),Product containing precisely clarithromycin 50 milligram/1 milliliter conventional release oral suspension,clinical drug
766570000,Product containing precisely spironolactone 2 milligram/1 milliliter conventional release oral suspension (clinical drug),Product containing precisely spironolactone 2 milligram/1 milliliter conventional release oral suspension,clinical drug
766571001,Product containing precisely spironolactone 5 milligram/1 milliliter conventional release oral suspension (clinical drug),Product containing precisely spironolactone 5 milligram/1 milliliter conventional release oral suspension,clinical drug
766573003,Product containing precisely spironolactone 1 milligram/1 milliliter conventional release oral suspension (clinical drug),Product containing precisely spironolactone 1 milligram/1 milliliter conventional release oral suspension,clinical drug
766575005,Product containing precisely sulfamethoxazole 40 milligram/1 milliliter and trimethoprim 8 milligram/1 milliliter conventional release oral suspension (clinical drug),Product containing precisely sulfamethoxazole 40 milligram/1 milliliter and trimethoprim 8 milligram/1 milliliter conventional release oral suspension,clinical drug
766585006,Product containing precisely ondansetron (as ondansetron hydrochloride) 800 microgram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely ondansetron (as ondansetron hydrochloride) 800 microgram/1 milliliter conventional release oral solution,clinical drug
766620009,Product containing precisely ciclosporin 50 milligram/1 milliliter conventional release solution for injection (clinical drug),Product containing precisely ciclosporin 50 milligram/1 milliliter conventional release solution for injection,clinical drug
766687009,Product containing precisely mesalazine 1 gram/1 sachet gastro-resistant and prolonged-release oral granules (clinical drug),Product containing precisely mesalazine 1 gram/1 sachet gastro-resistant and prolonged-release oral granules,clinical drug
766822004,Sexual orientation confusion (finding),Sexual orientation confusion,finding
766834007,Secondary cataract (disorder),Secondary cataract,disorder
766877008,Constantly crying infant (finding),Constantly crying infant,finding
766886003,Technetium (99m-Tc) bicisate (substance),Technetium (99m-Tc) bicisate,substance
767002009,Congenital dislocation of left hip (disorder),Congenital dislocation of left hip,disorder
767003004,Congenital dislocation of right hip (disorder),Congenital dislocation of right hip,disorder
767049008,"Radioactive seed, device (physical object)","Radioactive seed, device",physical object
767075007,Product containing precisely caffeine citrate 20 milligram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely caffeine citrate 20 milligram/1 milliliter conventional release oral solution,clinical drug
767201007,Streptococcus pneumoniae Danish serotype 34 (organism),Streptococcus pneumoniae Danish serotype 34,organism
767202000,Streptococcus pneumoniae serogroup 20 (organism),Streptococcus pneumoniae serogroup 20,organism
767204004,Streptococcus pneumoniae Danish serotype 38 (organism),Streptococcus pneumoniae Danish serotype 38,organism
767208001,Streptococcus pneumoniae Danish serotype 39 (organism),Streptococcus pneumoniae Danish serotype 39,organism
767235005,Gadolinium compound (substance),Gadolinium compound,substance
767263007,22q11.2 deletion syndrome (disorder),22q11.2 deletion syndrome,disorder
767274003,Streptococcus pneumoniae Danish serotype 40 (organism),Streptococcus pneumoniae Danish serotype 40,organism
767275002,Streptococcus pneumoniae Danish serotype 48 (organism),Streptococcus pneumoniae Danish serotype 48,organism
767281005,Streptococcus pneumoniae Danish serotype 46 (organism),Streptococcus pneumoniae Danish serotype 46,organism
767282003,Streptococcus pneumoniae Danish serotype 45 (organism),Streptococcus pneumoniae Danish serotype 45,organism
767283008,Streptococcus pneumoniae Danish serotype 44 (organism),Streptococcus pneumoniae Danish serotype 44,organism
767284002,Streptococcus pneumoniae Danish serotype 43 (organism),Streptococcus pneumoniae Danish serotype 43,organism
767285001,Streptococcus pneumoniae Danish serotype 42 (organism),Streptococcus pneumoniae Danish serotype 42,organism
767356009,Mucous retention cyst of cervix uteri (disorder),Mucous retention cyst of cervix uteri,disorder
767357000,Sampling of cervix for Papanicolaou smear done (situation),Sampling of cervix for Papanicolaou smear done,situation
767406000,Sulfite and/or sulfite derivative (substance),Sulfite and/or sulfite derivative,substance
767418009,Indium (113-In) chloride (substance),Indium (113-In) chloride,substance
767450004,Trichinella nativa (organism),Trichinella nativa,organism
767451000,Trichinella nelsoni (organism),Trichinella nelsoni,organism
767657005,Anemia due to and following chemotherapy (disorder),Anemia due to and following chemotherapy,disorder
767658000,Neutropenia due to and following chemotherapy (disorder),Neutropenia due to and following chemotherapy,disorder
767678008,Recurrent left inguinal hernia (disorder),Recurrent left inguinal hernia,disorder
767679000,Recurrent right inguinal hernia (disorder),Recurrent right inguinal hernia,disorder
767775001,Europium (substance),Europium,substance
767776000,Niobium (substance),Niobium,substance
768304003,Product containing precisely dolutegravir (as dolutegravir sodium) 50 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely dolutegravir (as dolutegravir sodium) 50 milligram/1 each conventional release oral tablet,clinical drug
768962006,Lyell syndrome (disorder),Lyell syndrome,disorder
769135007,Product containing precisely rifampicin 20 milligram/1 milliliter conventional release oral suspension (clinical drug),Product containing precisely rifampicin 20 milligram/1 milliliter conventional release oral suspension,clinical drug
769137004,Product containing precisely zidovudine 10 milligram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely zidovudine 10 milligram/1 milliliter conventional release oral solution,clinical drug
769153001,Product containing precisely midazolam (as midazolam hydrochloride) 2 milligram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely midazolam (as midazolam hydrochloride) 2 milligram/1 milliliter conventional release oral solution,clinical drug
769277004,Product containing precisely ranitidine (as ranitidine hydrochloride) 15 milligram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely ranitidine (as ranitidine hydrochloride) 15 milligram/1 milliliter conventional release oral solution,clinical drug
769281004,Product containing precisely atenolol 5 milligram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely atenolol 5 milligram/1 milliliter conventional release oral solution,clinical drug
